,smiles,fragments,n_fragments,C,F,N,O,Other,SINGLE,DOUBLE,TRIPLE,Tri,Quad,Pent,Hex,logP,mr,qed,SAS,tpsa,score,rank
84,Cc1ccc(S(=O)(=O)N(C)CC(=O)Nc2ccccc2)cc1,*S(=O)(=O)c1ccc(C)cc1 *N(C)CC(=O)Nc1ccccc1,2,16,0,2,3,1,14,9,0,0,0,0,2,2.25422,86.06650000000003,0.921360941009,1.6450186913607787,66.48,-6.9,0
85,CCNC(=O)CNC(=O)NNC(=O)C(C)(C)C,*NCC *C(=O)CNC(*)=O *NNC(=O)C(C)(C)C,3,10,0,4,3,0,13,3,0,0,0,0,0,-0.501,62.81580000000002,0.523372856263,2.3158599384839125,99.33,-5.6,0
86,O=C(CN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O)N1CCN(c2ccccc2F)CC1,*CC(=O)N1CCN(c2ccccc2F)CC1 *N1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,2,20,1,4,5,0,23,10,0,0,0,1,3,1.6787,103.65640000000003,0.433477005461,2.1917635931777504,104.07,-7.9,0
87,CCC(=O)Nc1ccc(C(=O)NC)cc1,*C(=O)CC *Nc1ccc(*)cc1 *C(=O)NC,3,11,0,2,2,0,10,5,0,0,0,0,1,1.3947,58.752900000000025,0.7931133910160001,1.4918254264962236,58.2,-5.8,0
88,Cn1c(CNC(=O)c2ccccc2)cc(=O)n(C)c1=O,*c1cc(=O)n(C)c(=O)n1C *CNC(*)=O *c1ccccc1,3,14,0,3,3,0,14,7,0,0,0,0,2,0.0139999999999999,74.53620000000002,0.880517324349,1.9756746765103177,73.1,-6.0,0
99,CC(N)NS(=O)(=O)c1ccc(C(=O)NCC(=O)[O-])cc1,*NCC *NS(=O)(=O)c1ccc(C(=O)NCC(=O)[O-])cc1,2,11,0,3,5,1,13,7,0,0,0,0,1,-2.2506999999999975,67.75310000000002,0.5066169001824221,3.0666130607955564,141.42,-6.1,0
89,CNC(=O)NCCS(=O)(=O)NCc1ccccc1,*C(=O)NC *NCCS(=O)(=O)NCc1ccccc1,2,11,0,3,3,1,12,6,0,0,0,0,1,0.035,69.52690000000003,0.701327835318,2.00121327214576,87.30000000000001,-6.2,0
91,CCC(C)N1C(=O)c2ccccc2C(C(=O)NC2[NH+]=c3ccccc3=[NH+]2)C12CCCC2,*CCCC *N1C(=O)c2ccccc2C(C(=O)NC2[NH+]=c3ccccc3=[NH+]2)C12CCCC2,2,25,0,4,2,0,26,9,0,0,0,2,3,-1.1486999999999952,114.05860000000006,0.5866580435724776,5.062150638014323,77.35000000000001,-8.3,0
92,CC[NH2+]C(O)C(=O)NN=C1C(=O)NC(=O)NC1=O,*OCC(=O)NN=C1C(=O)NC(=O)NC1=O *[NH2+]CC,2,8,0,5,5,0,13,5,0,0,0,0,1,-4.273699999999997,55.73230000000001,0.2549506523620968,4.24049830460358,153.57,-5.9,0
93,CC[NH2+]C1(NC)N=c2c(=O)n(C)c(=O)n(C)c2=N1,*n1c(NC)nc2c1c(=O)n(C)c(=O)n2C *[NH2+]CC,2,10,0,6,2,0,15,4,0,0,0,1,1,-4.2491999999999965,63.493100000000005,0.5338537329489011,4.658199266142043,97.36,-6.0,0
94,CC[NH2+]C(NC(=O)CC1C[NH2+]CCO1)C(=O)[O-],*N(CC(=O)[O-])C(=O)CC1C[NH2+]CCO1 *[NH2+]CC,2,10,0,3,4,0,15,2,0,0,0,0,1,-4.885799999999995,55.420500000000025,0.40782493038621476,5.854349039275637,111.68,-5.6,0
95,CC(N)C(=O)NCc1nnnn1-c1ccccc1,*NCC *C(=O)NCc1nnnn1-c1ccccc1,2,11,0,6,1,0,13,6,0,0,0,1,1,-0.37429999999999897,64.65010000000001,0.7662150738491639,2.4950967774542594,98.72,-6.8,0
96,CC(N)NC1=N[NH+]=CNC1C(=O)[O-],*NCC *NC1=N[NH+]=CNC1C(=O)[O-],2,6,0,5,2,0,10,3,0,0,0,0,1,-4.975199999999997,43.1775,0.32141395936098655,6.130314893906381,116.53999999999999,-5.6,0
97,CC(N)C(=O)N1CCN(S(=O)(=O)N(C)C)CC1,*NCC *C(=O)N1CCN(S(=O)(=O)N(C)C)CC1,2,9,0,4,3,1,14,3,0,0,0,0,1,-1.7157999999999969,64.40920000000003,0.6569856535541237,2.700446925487187,86.95,-5.0,0
90,CC[NH2+]C(C)N1C=[NH+]C(c2ccccc2)C1C1[NH+]=c2ccc(F)cc2=[NH+]1,*CCN1C=[NH+]C(c2ccccc2)C1C1[NH+]=c2ccc(F)cc2=[NH+]1 *[NH2+]CC,2,20,1,5,0,0,21,8,0,0,0,2,2,-4.970499999999998,93.33450000000005,0.4267497166915009,6.064928880082763,61.76,-7.3,0
119,CC(N)NCC(=O)N1CCN(S(C)(=O)=O)CC1,*NCC *NCC(=O)N1CCN(S(C)(=O)=O)CC1,2,9,0,4,3,1,14,3,0,0,0,0,1,-2.0154999999999967,64.64890000000003,0.5717582372777917,2.8736465758368386,95.74000000000001,-5.7,0
120,CC(CC(=O)C(C)N)=NNC(=O)C(=O)NCCO,*NCC *C(=O)CC(C)=NNC(=O)C(=O)NCCO,2,10,0,4,4,0,13,4,0,0,0,0,0,-2.1065999999999976,64.62060000000001,0.24568640523293922,3.249416696583941,133.88,-6.3,0
121,CC(N)=CC(=O)OCC(=O)N1CCc2ccccc2C1,*NCC *=CC(=O)OCC(=O)N1CCc2ccccc2C1,2,15,0,2,3,0,15,6,0,0,0,0,2,0.9769999999999994,74.46640000000004,0.6584104308669523,2.2668517844024265,72.63000000000001,-7.3,0
143,Cc1cccc(C(=O)NC2=c3ccccc3=[NH+]C2C(=O)NCC(C)N)c1,*NCC *CNC(=O)C1[NH+]=c2ccccc2=C1NC(=O)c1cccc(C)c1,2,20,0,4,2,0,19,9,0,0,0,1,2,-1.920979999999996,98.25800000000002,0.5054257553767658,3.93338031001333,98.19,-7.4,0
144,CC(N)NC(=O)NCc1ccc(C(=O)N2CCNC(=O)C2)cc1,*NCC *NC(=O)NCc1ccc(C(=O)N2CCNC(=O)C2)cc1,2,15,0,5,3,0,18,6,0,0,0,0,2,-0.6374999999999988,84.37600000000002,0.5524361795797758,2.7609695265855,116.56,-7.1,0
145,CC(N)C(=O)NCC(=O)NCc1ccc2c(c1)OCCO2,*NCC *C(=O)NCC(=O)NCc1ccc2c(c1)OCCO2,2,14,0,3,4,0,17,5,0,0,0,0,2,-0.4625999999999999,75.93780000000004,0.6813538176944408,2.492915400608373,102.68,-6.7,0
146,CC(N)C(=O)NC(C)C1[NH+]=c2ccccc2=[NH+]1,*NCC *C(=O)NC(C)C1[NH+]=c2ccccc2=[NH+]1,2,12,0,4,1,0,13,5,0,0,0,1,1,-4.7213999999999965,60.86550000000002,0.42360521427276604,4.954437418981038,83.06,-6.1,0
147,CC(N)C(=O)NNC1=c2ccccc2=[NH+]C1=O,*NCC *C(=O)NNC1=c2ccccc2=[NH+]C1=O,2,11,0,4,2,0,12,6,0,0,0,1,1,-3.9967999999999977,59.10050000000001,0.3999484636131024,4.155225953905578,98.19,-7.1,0
148,CC(N)C(=O)N1CCCN(C(=O)Cn2cnnn2)CC1,*NCC *C(=O)N1CCCN(C(=O)Cn2cnnn2)CC1,2,11,0,7,2,0,17,4,0,0,0,1,0,-1.9187999999999967,69.24340000000002,0.6913509670278413,2.8601639212558503,110.24000000000002,-6.8,0
149,CC(N)NC(=O)C[NH+]1CC(n2cc(C(=O)[O-])nn2)C1,*NCC *NC(=O)C[NH+]1CC(n2cc(C(=O)[O-])nn2)C1,2,10,0,6,3,0,16,4,0,0,1,1,0,-4.497899999999998,60.745300000000015,0.4613494377402892,4.993637987294554,130.4,-6.2,0
142,CC(N)C(=O)NCC(=O)NCc1ccccc1,*NCC *C(=O)NCC(=O)NCc1ccccc1,2,12,0,3,2,0,12,5,0,0,0,0,1,-0.2337999999999989,64.94780000000003,0.658619915999424,2.0823300455586065,84.22,-6.3,0
150,CC(N)NC(=O)CC1C(=O)NCCN1C(=O)CCC(=O)[O-],*NCC *NC(=O)CC1C(=O)NCCN1C(=O)CCC(=O)[O-],2,12,0,4,5,0,17,4,0,0,0,0,1,-3.345499999999997,69.16080000000002,0.4370468124906326,3.840003819274779,144.66,-6.5,0
152,CC(N)CC(=O)NCCC1[NH+]=c2ccccc2=[NH+]1,*NCC *CC(=O)NCCC1[NH+]=c2ccccc2=[NH+]1,2,13,0,4,1,0,14,5,0,0,0,1,1,-4.329699999999996,65.50450000000002,0.42483628026981735,4.591830714105843,83.06,-5.6,0
153,CC(N)NC(=O)C(Cc1ccccc1)NS(=O)(=O)c1ccc2c(c1)oc(=O)n2C,*NCC *NC(=O)C(Cc1ccccc1)NS(=O)(=O)c1ccc2c(c1)oc(=O)n2C,2,19,0,4,5,1,21,10,0,0,0,1,2,0.44200000000000067,107.50260000000006,0.4764617566032308,3.156524351133065,136.43,-7.7,0
154,CC(N)C(=O)NNC(=O)CNC(=O)C1CCCCC1,*NCC *C(=O)NNC(=O)CNC(=O)C1CCCCC1,2,12,0,4,3,0,16,3,0,0,0,0,1,-0.8224999999999993,69.51950000000002,0.49960685903164864,2.5223750913669534,113.32,-6.6,0
156,CC(N)C(=O)NN1C(=S)N(c2ccccc2)C(=O)C1CC(N)=O,*NCC *C(=O)NN1C(=S)N(c2ccccc2)C(=O)C1CC(N)=O,2,14,0,5,3,1,17,7,0,0,0,1,1,-0.7575000000000001,87.75650000000002,0.6083131181247494,3.3399806169777326,121.76000000000002,-7.6,0
157,CC(N)NC(=O)NCC(=O)N1CCc2ccccc2C1,*NCC *NC(=O)NCC(=O)N1CCc2ccccc2C1,2,14,0,4,2,0,16,5,0,0,0,0,2,0.17520000000000113,75.74680000000002,0.6879763423939046,2.720431503673435,87.46,-7.5,0
158,CC(N)NC(=O)Cn1c(=O)n(C)c(=O)c2ccccc21,*NCC *NC(=O)Cn1c(=O)n(C)c(=O)c2ccccc21,2,13,0,4,3,0,15,6,0,0,0,0,2,-0.8789,75.24110000000002,0.7111345831292056,2.664370148362078,99.12,-6.6,0
159,CC(N)=CC(=O)NNC(=O)c1nn(Cc2ccccc2)c(=O)c2ccccc12,*NCC *=CC(=O)NNC(=O)c1nn(Cc2ccccc2)c(=O)c2ccccc12,2,20,0,5,3,0,19,11,0,0,0,0,3,1.0683000000000011,105.1003,0.46409601805899214,2.346760417106676,119.10999999999999,-7.5,0
151,CC(N)C(=O)OCC(=O)Nc1ccc(C(N)=O)cc1,*NCC *C(=O)OCC(=O)Nc1ccc(C(N)=O)cc1,2,12,0,3,4,0,13,6,0,0,0,0,1,-0.3855999999999997,68.19800000000001,0.6254336058718053,2.27463074747555,124.51000000000002,-6.0,0
141,CC(N)NC(=O)CCC(=O)NNC(=O)c1nn(C)c(=O)c2ccccc12,*NCC *NC(*)=O *CCC(=O)NNC(=O)c1nn(C)c(=O)c2ccccc12,3,16,0,6,4,0,19,8,0,0,0,0,2,-1.1043999999999998,93.61900000000001,0.3926524007679752,2.8575340771760853,148.20999999999998,-7.5,0
140,CC(N)C1C(C(=O)NC2[NH+]=c3ccccc3=[NH+]2)c2ccccc2C(=O)N1C,*NCC *C1C(C(=O)NC2[NH+]=c3ccccc3=[NH+]2)c2ccccc2C(=O)N1C,2,20,0,5,2,0,21,9,0,0,0,1,3,-3.914399999999995,96.46800000000005,0.44688764007514636,4.865073601652447,103.36999999999999,-7.6,0
139,Cc1ccc2c(c1)=C(NC(=O)c1ccc(F)cc1)C(C(=O)NCC(C)N)[NH+]=2,*NCC *CNC(=O)C1[NH+]=c2ccc(C)cc2=C1NC(=O)c1ccc(F)cc1,2,20,1,4,2,0,20,9,0,0,0,1,2,-1.7818799999999966,98.21600000000002,0.5015216049019106,3.9423738529883234,98.19,-7.8,0
122,CC(=O)N1CCN(C(=O)C(C)N)CC1,*NCC *C(=O)N1CCN(C(C)=O)CC1,2,9,0,3,2,0,12,2,0,0,0,0,1,-0.9756999999999982,52.48340000000003,0.5902608167764469,2.396137086964927,66.64,-5.2,0
123,CC(N)C(=O)CN1C(=S)SC(C2[NH+]=c3ccccc3=[NH+]2)C1N,*NCC *C(=O)CN1C(=S)SC(C2[NH+]=c3ccccc3=[NH+]2)C1N,2,14,0,5,1,2,18,6,0,0,0,2,1,-4.669899999999997,86.92620000000002,0.41234714368612213,5.614657872291552,100.29,-6.7,0
124,CC(N)C(=O)N1CCN(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)CC1,*NCC *C(=O)N1CCN(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)CC1,2,13,0,4,5,1,17,7,0,0,0,0,2,-0.22509999999999852,82.08460000000002,0.5948862870519774,2.4923244816103125,126.85000000000002,-6.9,0
125,Cc1[nH]c(=O)[nH]c(=O)c1S(=O)(=O)N1CCN(C(C)N)CC1,*NCC *N1CCN(S(=O)(=O)c2c(C)[nH]c(=O)[nH]c2=O)CC1,2,11,0,5,4,1,17,5,0,0,0,0,2,-2.0173799999999966,76.40160000000002,0.5894893758497469,3.114692570472405,132.35999999999999,-6.7,0
126,CC(N)=CC(=O)NCC(=O)OCc1ccccc1,*NCC *=CC(=O)NCC(=O)OCc1ccccc1,2,13,0,2,3,0,12,6,0,0,0,0,1,0.7084999999999999,67.19210000000002,0.5936348426628633,2.0900806567611454,81.42,-6.7,0
127,CC(N)C(=O)NNC(=O)C(=O)N1CCCC1,*NCC *C(=O)NNC(=O)C(=O)N1CCCC1,2,9,0,4,3,0,13,3,0,0,0,1,0,-1.8965999999999987,55.74880000000002,0.3600405100901108,2.7607273959993552,104.52999999999999,-5.9,0
128,CC(N)=CC(=O)N1CCC(C2[NH+]=c3ccccc3=[NH+]2)CC1,*NCC *=CC(=O)N1CCC(C2[NH+]=c3ccccc3=[NH+]2)CC1,2,16,0,4,1,0,17,6,0,0,0,1,2,-3.4721999999999964,76.85980000000004,0.494279289179512,4.152539774278322,74.27000000000001,-6.6,0
129,CC(N)[NH+](CC(=O)[O-])CC(=O)[O-],*NCC *[NH+](CC(=O)[O-])CC(=O)[O-],2,6,0,2,4,0,9,2,0,0,0,0,0,-5.324199999999998,34.3601,0.405235359935778,5.83888001694258,110.72,-4.6,0
130,CC(N)NC(=O)C(=O)NCCN1CCOCC1,*NCC *NC(=O)C(=O)NCCN1CCOCC1,2,10,0,4,3,0,15,2,0,0,0,0,1,-2.1442999999999968,62.06080000000003,0.387084229461409,2.804660323791012,96.69,-5.0,0
131,CC(N)NC(=O)Cn1nc(Cc2cccnc2)c2ccccc2c1=O,*NCC *NC(=O)Cn1nc(Cc2cccnc2)c2ccccc2c1=O,2,18,0,5,2,0,18,9,0,0,0,0,3,0.8032000000000001,94.83810000000005,0.6705609827767014,2.8400262464242783,102.9,-8.3,0
132,CC(N)CCC(=O)NC1[NH+]=c2ccccc2=[NH+]1,*NCC *CCC(=O)NC1[NH+]=c2ccccc2=[NH+]1,2,12,0,4,1,0,13,5,0,0,0,1,1,-4.372199999999997,60.637500000000024,0.42436133700213235,4.663259075836837,83.06,-5.8,0
133,CC(N)NS(=O)(=O)c1ccc(NC(=O)CSC2[NH+]=c3ccccc3=[NH+]2)cc1,*NCC *NS(=O)(=O)c1ccc(NC(=O)CSC2[NH+]=c3ccccc3=[NH+]2)cc1,2,17,0,5,3,2,19,10,0,0,0,1,2,-3.6608999999999954,101.11200000000001,0.30228680067756447,4.13436870887074,129.23,-6.4,0
134,CC(N)NC(=O)C(=O)Nc1c2c(nn1-c1ccc(F)cc1)CS(=O)(=O)C2,*NCC *NC(=O)C(=O)Nc1c2c(nn1-c1ccc(F)cc1)CS(=O)(=O)C2,2,15,1,5,4,1,19,9,0,0,0,2,1,-0.2008000000000001,90.2716,0.4974994697037173,3.3241514119539843,136.17999999999998,-7.7,0
135,COc1ccc2c(c1)=C1CCN3C(=O)N(C(C)C(=O)NCC(C)N)C(=O)C3(C)C1[NH+]=2,*NCC *CNC(=O)C(C)N1C(=O)N2CCC3=c4cc(OC)ccc4=[NH+]C3C2(C)C1=O,2,21,0,5,4,0,26,7,0,0,0,2,2,-2.7931999999999944,107.59680000000003,0.45020443866620613,4.838728560317895,118.94,-7.6,0
136,CC(N)NC(=O)c1cccc(S(=O)(=O)N2CCNC(=O)C2)c1,*NCC *NC(=O)c1cccc(S(=O)(=O)N2CCNC(=O)C2)c1,2,13,0,4,4,1,16,7,0,0,0,0,2,-1.158399999999999,79.32610000000003,0.6027168199131022,2.829713351183038,121.6,-6.6,0
137,CC(N)C(=O)NNC(=O)c1cccc(S(=O)(=O)N(C)C)c1,*NCC *C(=O)NNC(=O)c1cccc(S(=O)(=O)N(C)C)c1,2,12,0,4,4,1,14,7,0,0,0,0,1,-0.9548999999999987,76.57310000000004,0.6183045836996915,2.503712285757123,121.59999999999998,-6.2,0
138,CC(N)C(=O)NC(=O)COC(=O)c1cc(=O)[nH]c2ccccc12,*NCC *C(=O)NC(=O)COC(=O)c1cc(=O)[nH]c2ccccc12,2,15,0,3,5,0,16,8,0,0,0,0,2,-0.32509999999999883,81.65030000000002,0.6619541605458902,2.6172780087283574,131.35,-7.2,0
81,O=C(Cn1cc(Cl)c(=O)[nH]c1=O)c1ccc2c(c1)CCCC2,*CC(=O)c1ccc2c(c1)CCCC2 *n1cc(Cl)c(=O)[nH]c1=O,2,16,0,2,3,1,17,7,0,0,0,0,3,1.9517,83.74720000000002,0.8841462279410001,2.336219386963432,71.93,-8.3,0
80,NC(=O)c1noc(Cn2ccnc2-c2cccc3c2oc2ccccc23)n1,*C(N)=O *c1noc(Cn2ccnc2-c2cccc3c2oc2ccccc23)n1,2,19,0,5,3,0,20,11,0,0,0,3,2,2.9797,96.8589,0.5224185365690001,2.6688694866676226,112.97,-9.4,0
155,Cc1ccc2c(c1)C1(NC(Cc3c[nH]c4ccccc34)C3C(=O)N(C(C)N)C(=O)C31)C(=O)N2,*NCC *N1C(=O)C2C(Cc3c[nH]c4ccccc34)NC3(C(=O)Nc4ccc(C)cc43)C2C1=O,2,25,0,5,3,0,28,10,0,0,0,4,2,1.7441199999999997,122.89550000000007,0.4598411487633682,4.5295674357072375,120.32,-8.9,0
78,O=C(COc1cccc2ccccc12)NNC(=O)c1ccc(F)cc1,*CC(=O)NNC(=O)c1ccc(F)cc1 *Oc1cccc2ccccc12,2,19,1,2,3,0,17,10,0,0,0,0,3,2.8189,91.45190000000004,0.714230874618,1.7517993130997205,67.43,-7.5,0
21,Cn1ccc(-c2cc(C(=O)N3CCN(Cc4ccccn4)CC3)c3ccccc3n2)n1,*c1ccn(C)n1 *c1cc(C(=O)N2CCN(Cc3ccccn3)CC2)c2ccccc2n1,2,24,0,6,1,0,24,11,0,0,0,1,4,2.9883,119.36250000000004,0.510339296354,2.3350861211848137,67.15,-9.2,0
22,CCNC(=O)NCCS(=O)(=O)N1CCN(c2ncccn2)CC1,*NCC *CCNC(*)=O *S(=O)(=O)N1CCN(c2ncccn2)CC1,3,13,0,6,3,1,18,6,0,0,0,0,2,-0.7525,86.68020000000004,0.7359223802860001,2.3205748025596336,107.53,-6.4,0
23,COC(=O)CNC(=O)CCc1ccc(F)c(F)c1,*CC(=O)OC *NC(=O)CCc1ccc(F)c(F)c1,2,12,2,1,3,0,13,5,0,0,0,0,1,1.1866,59.70470000000002,0.8159110783490001,1.8453664464000783,55.4,-6.5,0
24,CCc1ccc(OCC(=O)Nc2ccc(C(N)=O)cc2)cc1,*c1ccc(CC)cc1 *OCC(=O)Nc1ccc(C(N)=O)cc1,2,17,0,2,3,0,15,8,0,0,0,0,2,2.3654,84.90460000000003,0.8593351746500001,1.5783434564423402,81.41999999999999,-6.9,0
25,NC(=O)c1ccn(-c2ccccc2NC(=O)c2cccc(F)c2)n1,*C(N)=O *c1ccn(-c2ccccc2NC(=O)c2cccc(F)c2)n1,2,17,1,4,2,0,16,10,0,0,0,1,2,2.3626,86.43510000000002,0.7723696115629999,2.018567193130289,90.01,-8.0,0
26,O=C(c1ccc2ccccc2c1)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,*C(=O)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1 *c1ccc2ccccc2c1,2,21,1,2,3,1,20,11,0,0,0,0,4,3.1256,105.01030000000004,0.672218559693,1.9074406215857405,57.690000000000005,-8.1,0
